comment,clean_comment,sentiment,score
"Saya mengerti bagaimana tekan langsung as terhadap bapak presiden saat ini. Tapi tolong jangan terus menerus ikut hasutan amerika pak. Sudah cukup tambang kita dulu terus dikeruk negara lain. Apalagi sekarang lagi heboh perang dimana-mana. Lebih baik mulai menutup gerbang mengasingkan sejenak dari nuansa luar, kita masih banyak perlu untuk dibenahi. Masih banyak kemiskinan, masih banyak pengangguran, hukum tidak merata dengan baik, dll.. stop pak bangun please jangan nyerah gitu saja, bapak pasti bisa membawa Indonesia ke gerbang ke emasanya. Kita Indonesia sudah saatnya memuliakan dulu rakyat Indonesia dari segala sektor. Please tinggal dulu urusan luar. Banyak contoh negara yang menutup gerbang sekarang sudah menjadi negara maju. Mau sampai kapan tiap waktu pemerintah debat terus menerus ujung-ujungnya saling menjatuhkan. Tolong segara pulihkan Indonesia ku ini pak. semoga saja bapak presiden RI sekarang disehatkan selalu. Amiin",saya mengerti bagaimana tekan langsung as terhadap bapak presiden saat ini tapi tolong jangan terus menerus ikut hasutan amerika pak sudah cukup tambang kita dulu terus dikeruk negara lain apalagi sekarang lagi heboh perang dimanamana lebih baik mulai menutup gerbang mengasingkan sejenak dari nuansa luar kita masih banyak perlu untuk dibenahi masih banyak kemiskinan masih banyak pengangguran hukum tidak merata dengan baik dll stop pak bangun please jangan nyerah gitu saja bapak pasti bisa membawa indonesia ke gerbang ke emasanya kita indonesia sudah saatnya memuliakan dulu rakyat indonesia dari segala sektor please tinggal dulu urusan luar banyak contoh negara yang menutup gerbang sekarang sudah menjadi negara maju mau sampai kapan tiap waktu pemerintah debat terus menerus ujungujungnya saling menjatuhkan tolong segara pulihkan indonesia ku ini pak semoga saja bapak presiden ri sekarang disehatkan selalu amiin,Positive,2
"ayo para buzzer bayaran,komen menjilat terus,jilat,jilat,jilat",ayo para buzzer bayarankomen menjilat terusjilatjilatjilat,Neutral,0
"Kami sebagai rakyat Indonesia tidak Sudi dan sangat kecewa,anda tersenyum dengan para penjajah negara Islam,kami masyarakat Indonesia jika diizinkan kelah di akhirat,kami akan bersaksi bahwa anda adalah pemimpin yang dzalim,Dzalim,Dzalim",kami sebagai rakyat indonesia tidak sudi dan sangat kecewaanda tersenyum dengan para penjajah negara islamkami masyarakat indonesia jika diizinkan kelah di akhiratkami akan bersaksi bahwa anda adalah pemimpin yang dzalimdzalimdzalim,Negative,-1
Dia yg menjamin keamanan israel,dia yg menjamin keamanan israel,Neutral,0
Presiden Indonesia bangga di puji kepalsuan,presiden indonesia bangga di puji kepalsuan,Positive,1
Anda wahai pak Prabowo seorang presiden...masa seperti office boy....??? meskipun kita Indonesia kekuatan tempur GK seperti MRK..tp tolong hargai rakyatmu ato atas nama bangsa Indonesia......dsruh Donal bebek pegang mau aja.....tolong jaga wibawa anda atas nama Indonesia.....masih berwibawa pak Jokowi....,anda wahai pak prabowo seorang presidenmasa seperti office boy meskipun kita indonesia kekuatan tempur gk seperti mrktp tolong hargai rakyatmu ato atas nama bangsa indonesiadsruh donal bebek pegang mau ajatolong jaga wibawa anda atas nama indonesiamasih berwibawa pak jokowi,Neutral,0
Malaysia aja menolak untuk bergabung BOP,malaysia aja menolak untuk bergabung bop,Neutral,0
Hei antek antek Trump 😂😂😂😂,hei antek antek trump ,Neutral,0
Urusan dalam negeri beresin pak...mana janji janjinya ketika pemilu ??<br>Jangan hanya omon omon tanpa bukti..hanya obral janji,urusan dalam negeri beresin pakmana janji janjinya ketika pemilu jangan hanya omon omon tanpa buktihanya obral janji,Neutral,0
semangat..untuk mimpi buruk,semangatuntuk mimpi buruk,Neutral,0
"Ini lah yg say sesalkan, kenapa pak prabowo sampek gabung dgn BOP bentukan as yg disitu ada israel juga, huuuuft..aneh bwanget",ini lah yg say sesalkan kenapa pak prabowo sampek gabung dgn bop bentukan as yg disitu ada israel juga huuuuftaneh bwanget,Neutral,0
Ternyata didunia ini banyak yg omon omon,ternyata didunia ini banyak yg omon omon,Neutral,0
SEMOGA NIAT RAKYAT SEGERA TERWUJUD MELALUI BAPAK PRABOWO DEMI KEMERDEKAAN PALESTINA !!! <br>GUNAKAN DENGAN BAIK CARA KAMUFLASE MILITER DEMI KEPENTINGAN PERDAMAIAN PALESTINA <br>KAMI PAHAM TUJUAN BAPAK,semoga niat rakyat segera terwujud melalui bapak prabowo demi kemerdekaan palestina  gunakan dengan baik cara kamuflase militer demi kepentingan perdamaian palestina kami paham tujuan bapak,Neutral,0
😢😢😢,,Neutral,0
ngabisin duit rakyat aja kau wowo...,ngabisin duit rakyat aja kau wowo,Neutral,0
"<a href=""https://www.youtube.com/watch?v=XVDQv8q1oT4"">https://youtu.be/XVDQv8q1oT4?si=SGRlLl6v6Ed5rwub</a>",,Neutral,0
Yaahh masuk jebakan deh,yaahh masuk jebakan deh,Neutral,0
"Walopun saya itu bukan pendukung pak prabowo, tp sebagai warga negara saya merasa agak sakit hati dengan tingkah trump. Diminta memegangkan sendiri dokumen lalu ditinggal sendiri. Menurut saya dengan keseteraan sebagai kepala negara, seharusnya tidak berjalan seperti itu. Itu menurut saya.",walopun saya itu bukan pendukung pak prabowo tp sebagai warga negara saya merasa agak sakit hati dengan tingkah trump diminta memegangkan sendiri dokumen lalu ditinggal sendiri menurut saya dengan keseteraan sebagai kepala negara seharusnya tidak berjalan seperti itu itu menurut saya,Neutral,0
Dikadalin mau aj,dikadalin mau aj,Neutral,0
KALIAN BISANYA NYINYIR KALIAN SUDAH LIAT APA YANG TERJADI TERHADAP PRESIDEN (Mantan) MADURO &amp; AYATOLLAH (Mantan) ALI KHAMENEI⁉️ masih buta kalian,kalian bisanya nyinyir kalian sudah liat apa yang terjadi terhadap presiden mantan maduro amp ayatollah mantan ali khamenei masih buta kalian,Neutral,0
Ngerasa bangga lu gitu?,ngerasa bangga lu gitu,Positive,1
"Pak Indonesia akan lebih bisa berbuat banyak untuk perdamaian dunia asal Indonesia makin kuat dan mandiri secara ekonomi,militer dan rakyat yang sejahtera agar tidak mudah di provokasi negara lain yang menginginkan Negara kita lemah.<br><br>Pak kalau bisa nilai tukar Rupiah itu harus di kuatkan biar jika kita memiliki pendapatan Tahunan dalam bentuk Rupiah dan kita tukar ke dollar karena jika kita terpaksa impor dari luar negeri daya beli kita tidak lemah atau bisa borong banyak barang.<br>Anggap saja pendapatan Indonesia pada akhir Tahun 2026 Rp4.000 Triliun dan US$1=Rp10.000,maka pendapatan Indonesia pada Tahun 2026=US$400 Miliar dollar.tapi jika US$1=Rp15.000,maka cuman setara US$266,6 Miliar dollar.<br>Lagian kalau kita borong Rafale F4,JF-17 Blok3,Akinci dan Scorpene evolved kan pakai dollar,biar bisa borong lebih banyak.sekalian Pak Tolong Jet Tempur I-22 Sikatan Info Global itu di lirik,kalau perlu di bantu karena model bagus dan saya sudah kasih masukan mengenai dimensi panjang lebar mirip KAAN/F-22 tapi Mesin Super manuver yang di pakai SU-57 yaitu Izdeliye 30.maaf kalau SU-57 body terlalu panjang jadi untuk manuver balik badan mungkin agak lambat,tapi Mesinnya super manuver,kalau di pasang di KAAN/Sikatan tentu lebih bermanuver.<br><br>Pak kalau bisa di usahakan Tarif dagang dengan Amerika itu 0% atau maksimal 10% biar harga produk kita laku terjual di Amerika dan kemungkinan bisa menaikan nilai Rupiah juga,agar harga barang di dalam negeri terjangkau rakyat kita.&quot;karena kalau kita kena tarif dagang terlalu tinggi kemungkinan besar dapat melemahkan nilai Rupiah&quot;.<br><br>Dan Pak kalau bisa jangan impor apapun dari luar negeri selama di dalam negeri kita bisa produksi sendiri contohnya mobil,motor,kereta api,elektronik,pakaian,tas,sepatu dll agar pabrik-pabrik di dalam negeri sehat dan rakyat kita bisa dapat lapangan pekerjaan tidak nganggur karena phk massal.&quot;karena kalau terlalu banyak impor kemungkinan besar dapat melemahkan nilai tukar Rupiah&quot;.<br>Kalau terpaksa impor atau imbal dagang,impor saja yang kita belum bisa bikin semacam rudal,pesawat tempur,Pembom,Fregat dan kapal selam yang penting ToT karena kita belum bisa sepenuhnya dan butuh patner untuk mengembangkan teknologi tinggi.<br>atau impor dari luar negeri tapi yang berupa masih mentah agar kita bisa kembangkan jadi produk yang lebih mahal,lalu kita jual kembali ke negara ke-3.contohnya kedelai Amerika kita bikin Tempe dalam kemasan lalu jual kembali ke Eropa,Timor Tengah dan Asia Timur.",pak indonesia akan lebih bisa berbuat banyak untuk perdamaian dunia asal indonesia makin kuat dan mandiri secara ekonomimiliter dan rakyat yang sejahtera agar tidak mudah di provokasi negara lain yang menginginkan negara kita lemahpak kalau bisa nilai tukar rupiah itu harus di kuatkan biar jika kita memiliki pendapatan tahunan dalam bentuk rupiah dan kita tukar ke dollar karena jika kita terpaksa impor dari luar negeri daya beli kita tidak lemah atau bisa borong banyak baranganggap saja pendapatan indonesia pada akhir tahun  rp triliun dan usrpmaka pendapatan indonesia pada tahun us miliar dollartapi jika usrpmaka cuman setara us miliar dollarlagian kalau kita borong rafale fjf blokakinci dan scorpene evolved kan pakai dollarbiar bisa borong lebih banyaksekalian pak tolong jet tempur i sikatan info global itu di lirikkalau perlu di bantu karena model bagus dan saya sudah kasih masukan mengenai dimensi panjang lebar mirip kaanf tapi mesin super manuver yang di pakai su yaitu izdeliye maaf kalau su body terlalu panjang jadi untuk manuver balik badan mungkin agak lambattapi mesinnya super manuverkalau di pasang di kaansikatan tentu lebih bermanuverpak kalau bisa di usahakan tarif dagang dengan amerika itu  atau maksimal  biar harga produk kita laku terjual di amerika dan kemungkinan bisa menaikan nilai rupiah jugaagar harga barang di dalam negeri terjangkau rakyat kitaquotkarena kalau kita kena tarif dagang terlalu tinggi kemungkinan besar dapat melemahkan nilai rupiahquotdan pak kalau bisa jangan impor apapun dari luar negeri selama di dalam negeri kita bisa produksi sendiri contohnya mobilmotorkereta apielektronikpakaiantassepatu dll agar pabrikpabrik di dalam negeri sehat dan rakyat kita bisa dapat lapangan pekerjaan tidak nganggur karena phk massalquotkarena kalau terlalu banyak impor kemungkinan besar dapat melemahkan nilai tukar rupiahquotkalau terpaksa impor atau imbal dagangimpor saja yang kita belum bisa bikin semacam rudalpesawat tempurpembomfregat dan kapal selam yang penting tot karena kita belum bisa sepenuhnya dan butuh patner untuk mengembangkan teknologi tinggiatau impor dari luar negeri tapi yang berupa masih mentah agar kita bisa kembangkan jadi produk yang lebih mahallalu kita jual kembali ke negara kecontohnya kedelai amerika kita bikin tempe dalam kemasan lalu jual kembali ke eropatimor tengah dan asia timur,Positive,2
"Dan sekarang mereka (US-Israel) menyerang Iran (massive  combat operations), minta tentara dan polisi Iran melucuti senjata, rakyat Iran sembunyi karena akan bahaya di luar, bom dimana-mana, dan membangun ulang negara berdaulat setelah pemerintahannya di turunkan  nanti (Irak Jilid 2).<br><br>Mau dibawa kemana negara ini Jenderal?",dan sekarang mereka usisrael menyerang iran massive  combat operations minta tentara dan polisi iran melucuti senjata rakyat iran sembunyi karena akan bahaya di luar bom dimanamana dan membangun ulang negara berdaulat setelah pemerintahannya di turunkan  nanti irak jilid mau dibawa kemana negara ini jenderal,Neutral,0
"Kayaknya Indonesia di bodohin ama AS.  Indonesia siap kirim 8ribu tni untuk misi kedamaian. Tpi itu hanya modus biar hamas tidak nyerang israel, karena pasukan israel dan AS mau nyerang iran. Klo tni ngk jadi terjun ke gaza pasti israel dan as  tidak mungkin berani nyerang iran. Maaf itu apa kata di otakku",kayaknya indonesia di bodohin ama as  indonesia siap kirim ribu tni untuk misi kedamaian tpi itu hanya modus biar hamas tidak nyerang israel karena pasukan israel dan as mau nyerang iran klo tni ngk jadi terjun ke gaza pasti israel dan as  tidak mungkin berani nyerang iran maaf itu apa kata di otakku,Negative,-1
"<a href=""http://www.youtube.com/results?search_query=%23free"">#free</a> palestina#🇵🇸",free palestina,Neutral,0
Jauh2 keluar negeri cuma jadi kacung disuruh2 sama sitrump😂😂😂...dipalak juga 17t...dasar presiden terburuk sepanjang sejarah,jauh keluar negeri cuma jadi kacung disuruh sama sitrumpdipalak juga tdasar presiden terburuk sepanjang sejarah,Negative,-2
Isi komen cuma para buzzer doang. Pecitraan😂,isi komen cuma para buzzer doang pecitraan,Neutral,0
"Prabowo itu sama anak SD pun di hina gara² MBG roti seribuan dan jeruk busuk😂, hadeh ko makin ke sini presiden makin parah",prabowo itu sama anak sd pun di hina gara mbg roti seribuan dan jeruk busuk hadeh ko makin ke sini presiden makin parah,Negative,-1
Woi pak Prabowo jangan sekongkol dengan Israel dong gila nyawit nih orang di situ ada negara Amerika lagi yang berteman dengan Israel gak kasihan apa di palestina sana mikir dong pak sawit mikir mikir kids 👉😜,woi pak prabowo jangan sekongkol dengan israel dong gila nyawit nih orang di situ ada negara amerika lagi yang berteman dengan israel gak kasihan apa di palestina sana mikir dong pak sawit mikir mikir kids ,Neutral,0
Indonesia negara dengan penghasilan pentani dari hasil sawah . beras jangan beli di Amerika pak .. jangan beli dari Amerika pak ..,indonesia negara dengan penghasilan pentani dari hasil sawah  beras jangan beli di amerika pak  jangan beli dari amerika pak ,Neutral,0
Para budaknya Dajjal kecil. <br>Rela menukar kemanusiaan demi hal duniawi,para budaknya dajjal kecil rela menukar kemanusiaan demi hal duniawi,Neutral,0
Ya Allah. Saya tidak berpihak kepada israel.😢<br>Jgn jadikan saya rakyat biasa  di anggap setuju dgn pemimpin kami.,ya allah saya tidak berpihak kepada israeljgn jadikan saya rakyat biasa  di anggap setuju dgn pemimpin kami,Positive,1
Menuju Masyarakat Adil Makmur dan Sejahterah,menuju masyarakat adil makmur dan sejahterah,Neutral,0
HEYY..... ANTEK ANTEK ASING,heyy antek antek asing,Neutral,0
"Trump : hbs ini fotokopiin 15 lembar, sisanya buat lo jajan",trump  hbs ini fotokopiin  lembar sisanya buat lo jajan,Neutral,0
Ciye satu tim sama Israel,ciye satu tim sama israel,Neutral,0
Komen full buzzer gilaa😂,komen full buzzer gilaa,Neutral,0
Indonesia gabung dengan penjahat dunia untuk ikut menjajah dan merampok wilayah Palestina terutama di gaza....,indonesia gabung dengan penjahat dunia untuk ikut menjajah dan merampok wilayah palestina terutama di gaza,Neutral,0
"Pak prabowo tanggapi vidio ini ...sebelum penyesalan terjadi ...<br><a href=""https://www.youtube.com/shorts/t2_EfBKga8k"">https://youtube.com/shorts/t2_EfBKga8k?si=BA1rCun9ALdhJvmm</a>",pak prabowo tanggapi vidio ini sebelum penyesalan terjadi ,Negative,-1
"ditunggu seluruh masyarakat indonesia ya pak, sampai ketemu diakhirat prabowo, silahkan pertanggung jawabkan keputusan anda selama ini",ditunggu seluruh masyarakat indonesia ya pak sampai ketemu diakhirat prabowo silahkan pertanggung jawabkan keputusan anda selama ini,Neutral,0
"Presiden cuma bacot, mending mundur saja klo gak bisa urus negara",presiden cuma bacot mending mundur saja klo gak bisa urus negara,Negative,-2
Pengkhianat🤮🤮🤮,pengkhianat,Negative,-1
"disuruh bawa map, kayak dibully......direndahin banget",disuruh bawa map kayak dibullydirendahin banget,Neutral,0
Jir banyak buzzer 😂😂😂,jir banyak buzzer ,Neutral,0
Masuk jebakan trump,masuk jebakan trump,Neutral,0
"Masukkk jebakan amerika dan israel,BODOHHHHHHH😢",masukkk jebakan amerika dan israelbodohhhhhhh,Negative,-1
"Rakyat indonesia TERTIPU dengan gebrakan podium saat kampanye ANTI ASING,eh dia malah jadi anjing penjilat pantat si trump/amerika🤣.",rakyat indonesia tertipu dengan gebrakan podium saat kampanye anti asingeh dia malah jadi anjing penjilat pantat si trumpamerika,Negative,-2
Saya pengin diposisi Pak Prabowo. Itu kata Anis Baswedan..&quot;,saya pengin diposisi pak prabowo itu kata anis baswedanquot,Neutral,0
"Punya presiden gini amat omongan sama tindakan tidak singkron, katanya jg impor eh impor 1000 ton beras, hadeh hadeh",punya presiden gini amat omongan sama tindakan tidak singkron katanya jg impor eh impor  ton beras hadeh hadeh,Neutral,0
Kenapa sampai saat ini tidak ada lagi kejelasan mengenai pengesahan RUU perampasan aset Pak ?<br>‎<br>‎Apakah bapak punya histori korupsi dan diam-diam mendukung tindakan anjing-anjing parlemen untuk mengabaikan/menggagalkan RUU tersebut ?,kenapa sampai saat ini tidak ada lagi kejelasan mengenai pengesahan ruu perampasan aset pak apakah bapak punya histori korupsi dan diamdiam mendukung tindakan anjinganjing parlemen untuk mengabaikanmenggagalkan ruu tersebut ,Negative,-3
Komenan nya pada bagus bagus apa iya rakyat kaya nya yang komen bukan eee?,komenan nya pada bagus bagus apa iya rakyat kaya nya yang komen bukan eee,Positive,1
Saya kok aneh banget posisi pak presiden kan harusnya di tengah2 bukan di pinggir 🙏😂😂😂😂,saya kok aneh banget posisi pak presiden kan harusnya di tengah bukan di pinggir ,Neutral,0
"Keliatan banget badutnya sekarang, baru di puji&quot; sudah besar kepala",keliatan banget badutnya sekarang baru di pujiquot sudah besar kepala,Neutral,0
"Assalamualaikum,wr.wb.<br> Amerika dan Israel vs Iran.<br><br>Bahwasannya tentara indonesia akan dikirim keperbatasan antara Israel dan Palestina untuk misi perdamaian.<br><br>kapal perang Amerika sudah masuk kewilayah timur tengah untuk menekan atau opsi berperang dengan Iran.<br><br>Maksud dalam pengamatan saya Tentara Nasional Indonesia dijadikan alat yang menguntungkan Amerika dan Israel sepertinya memang sangat menginginkan untuk mengisi kekosongan tentara diisrael, ketika Amerika dan Israel dengan secara bebas menyerang Iran.<br><br>Dalam berita lain pemerintah diisrael meningkan warganya diwajibkan untuk ikut kegiatan mileter, sudah jelas arahnya untuk apa<br><br>Ini sepertinya sudah jelas arah mau kemana Amerika dan Israel dalam posisi TNI, untuk amankan Israel dan menghancurkan Iran.<br><br>Sedangkan PBB saja Amerika dan Israel tidak patuh terhadap hukum international.<br><br>Jadi harus jelas kalaupun jadi pengiriman tentara Nasional Indonesia untuk misi perdamaian atau sejatinya kemerdekaan untuk rakyat palestina.",assalamualaikumwrwb amerika dan israel vs iranbahwasannya tentara indonesia akan dikirim keperbatasan antara israel dan palestina untuk misi perdamaiankapal perang amerika sudah masuk kewilayah timur tengah untuk menekan atau opsi berperang dengan iranmaksud dalam pengamatan saya tentara nasional indonesia dijadikan alat yang menguntungkan amerika dan israel sepertinya memang sangat menginginkan untuk mengisi kekosongan tentara diisrael ketika amerika dan israel dengan secara bebas menyerang irandalam berita lain pemerintah diisrael meningkan warganya diwajibkan untuk ikut kegiatan mileter sudah jelas arahnya untuk apaini sepertinya sudah jelas arah mau kemana amerika dan israel dalam posisi tni untuk amankan israel dan menghancurkan iransedangkan pbb saja amerika dan israel tidak patuh terhadap hukum internationaljadi harus jelas kalaupun jadi pengiriman tentara nasional indonesia untuk misi perdamaian atau sejatinya kemerdekaan untuk rakyat palestina,Neutral,0
&quot;Hay antek antek asing&quot;😂 makan ludah sendiri perjanjian bodoh di atas jutaan nyawa yang melayang,quothay antek antek asingquot makan ludah sendiri perjanjian bodoh di atas jutaan nyawa yang melayang,Negative,-1
Semoga Allah swt slalu melindungi.. Sehat slalu buat Bapak 🙏,semoga allah swt slalu melindungi sehat slalu buat bapak ,Positive,2
"<a href=""https://www.youtube.com/shorts/LiVJDGSuW6w"">https://youtube.com/shorts/LiVJDGSuW6w?si=DLKYObZBmnDqRZdt</a><br><br>Semangat terus bapak, saya yakin bapak tulus", terus bapak saya yakin bapak tulus,Positive,1
